model,seed,corruption,accuracy,NLL,ECE,Brier,predictive_entropy,initial_predictive_entropy,prediction_change_rate,mean_gate,mean_relative_effective_update
A,3,motion_blur,0.78294,0.9096929810714722,0.13578710675686598,0.34823266236305234,0.2439519660153758,0.2439519660153758,,,
A,3,zoom_blur,0.7823599999999999,0.8699041299915314,0.12572331464082004,0.3410698427295685,0.2745047739603941,0.2745047739603941,,,
A,3,snow,0.8271,0.717486272945404,0.10337944940298796,0.27641858325481417,0.21109896259895672,0.21109896259895672,,,
A,3,frost,0.79848,0.8578202947044372,0.12443286246508359,0.3232804807472229,0.23376507988485945,0.23376507988485945,,,
A,3,fog,0.88984,0.4389739955711365,0.06618650011390448,0.17552806344032287,0.1342015658177744,0.1342015658177744,,,
A,3,brightness,0.93604,0.24629824244499207,0.03615499750584364,0.10188321938037873,0.0878650304964176,0.0878650304964176,,,
A,3,contrast,0.76486,0.9911275083065033,0.1506727005404234,0.37105370844364166,0.25703261290962925,0.25703261290962925,,,
A,3,elastic_transform,0.8452,0.6086107646465302,0.08948561475247145,0.24575693545818328,0.19757060941300297,0.19757060941300297,,,
A,3,pixelate,0.74152,1.2570824152946471,0.17976816071242094,0.42472687227725986,0.23460994186332448,0.23460994186332448,,,
A,3,jpeg_compression,0.788,0.8641191313171387,0.1296955536070466,0.33840670934677125,0.24767771590356716,0.24767771590356716,,,
A,3,speckle_noise,0.6398,1.682582773923874,0.2483071018138528,0.5883740016937256,0.3338288718092552,0.3338288718092552,,,
A,3,gaussian_blur,0.72024,1.1864397182273865,0.17191823435097933,0.438052125043869,0.3166163688541914,0.3166163688541914,,,
A,3,spatter,0.83696,0.7116100200748444,0.10263075615227223,0.2673487414121628,0.18571821782302636,0.18571821782302636,,,
A,3,saturate,0.92076,0.31194830472707746,0.04508143636673689,0.1269581376385689,0.10655646748094201,0.10655646748094201,,,
A,4,gaussian_noise,0.44888,2.7360410937881467,0.41316467212319374,0.9206160570859909,0.4061268259703167,0.4061268259703167,,,
A,4,shot_noise,0.57806,1.9981825890254974,0.30149088119626044,0.6960830863547325,0.35567432634757773,0.35567432634757773,,,
A,4,impulse_noise,0.539,2.1120544754981996,0.3079223624888062,0.7341074664402008,0.45426266196779036,0.45426266196779036,,,
A,4,defocus_blur,0.82256,0.7308737168085575,0.11015637896329164,0.28307818123221395,0.20062363908657047,0.20062363908657047,,,
A,4,glass_blur,0.56686,1.8704723542022705,0.27257615331709384,0.6785947804260254,0.47496965744996444,0.47496965744996444,,,
A,4,motion_blur,0.77814,0.9170421489334106,0.137914390797019,0.3551226243686676,0.25043985967710675,0.25043985967710675,,,
A,4,zoom_blur,0.7850199999999999,0.8682066781520843,0.12961127455472946,0.3409202320098877,0.2556175911233819,0.2556175911233819,,,
A,4,snow,0.82562,0.7154585314178467,0.10475605689436197,0.2782602760720253,0.21181043073016625,0.21181043073016625,,,
A,4,frost,0.7770400000000001,0.9487102768611908,0.13729502824902534,0.3545257144021988,0.25789129543433054,0.25789129543433054,,,
A,4,fog,0.88406,0.470400740584135,0.07040857593506575,0.18674679157853127,0.1388160822661029,0.1388160822661029,,,
A,4,brightness,0.9365399999999999,0.23892337012290957,0.035701569637060164,0.10059654726147652,0.08735484104181902,0.08735484104181902,,,
A,4,contrast,0.75586,1.0790373960161208,0.15766281316518785,0.3901525218844414,0.25915335397007844,0.25915335397007844,,,
A,4,elastic_transform,0.8475,0.5992319053840637,0.08789289232373237,0.2427245168352127,0.19598168340274888,0.19598168340274888,,,
A,4,pixelate,0.75214,1.1674513333153724,0.17002027968406677,0.4059270687842369,0.2316350698459844,0.2316350698459844,,,
A,4,jpeg_compression,0.79246,0.8248421273612976,0.12412154607445001,0.3289957532787323,0.2504312655652722,0.2504312655652722,,,
A,4,speckle_noise,0.61496,1.7663659661823512,0.26578829174220564,0.624167146769762,0.35228176531998645,0.35228176531998645,,,
A,4,gaussian_blur,0.72762,1.1958567498540877,0.17935669477313756,0.4376798485982418,0.2744786676842041,0.2744786676842041,,,
A,4,spatter,0.84352,0.6765838331755996,0.09841778616815805,0.2559781942615844,0.1782616115584038,0.1782616115584038,,,
