model,seed,severity,accuracy,NLL,ECE,Brier,predictive_entropy,initial_predictive_entropy,prediction_change_rate,mean_gate,mean_relative_effective_update
D1,3,5,0.5828368421052632,2.0536225044965746,0.3011840649049533,0.6902842460042552,0.3385285773857883,0.4162511008822048,0.03659999999999999,0.1653886689568146,0.10594241553446737
D1,4,1,0.890821052631579,0.44846473012441085,0.06822204465693549,0.17657875712286486,0.12583400408123407,0.14820083371177362,0.011178947368421054,0.06022747203616912,0.03275883207683692
D1,4,2,0.8367210526315789,0.6967048357185565,0.10556658367161688,0.2655800379935064,0.17432245012624403,0.20689982225300535,0.018031578947368416,0.08382165490504542,0.04519894184997846
D1,4,3,0.7833105263157895,0.942603765963567,0.14225410054114304,0.35028016943649243,0.22186594609631408,0.26422222645368876,0.025199999999999993,0.10688976455006365,0.05748722850531945
D1,4,4,0.7159947368421052,1.2750852147535274,0.19056023394402705,0.45985725685734496,0.2763485774603849,0.3315892774630099,0.03361052631578947,0.1337078171524429,0.0709894324017645
D1,4,5,0.5994842105263157,1.8919049525198184,0.2774559782610912,0.6519781965977267,0.3615405549985193,0.4362040950123982,0.04367368421052631,0.17543461109299543,0.09317431074560385
D1,5,1,0.8887631578947368,0.4572601669879336,0.06726358529980245,0.17951166224887496,0.13447154592653923,0.1476636038021549,0.008684210526315798,0.06119940458546093,0.03710833118999364
D1,5,2,0.8293473684210526,0.7189802993824608,0.10848963654700078,0.27556312465228533,0.18691340699180903,0.20577370315305604,0.014047368421052628,0.08511037241860953,0.05011176321304125
D1,5,3,0.7712368421052631,1.0047488603842887,0.151278603361547,0.3708279859072284,0.2308704467524778,0.2546955235311881,0.018347368421052633,0.10518114686790511,0.06262419758181041
D1,5,4,0.6998052631578947,1.3928533466837907,0.20566222141094898,0.49078575394012425,0.27882907610118485,0.3078073226746626,0.022526315789473686,0.1270195999653425,0.07491614035776836
D1,5,5,0.5809105263157894,2.0548323733681126,0.29507752791815683,0.6873809180040108,0.3634781596486941,0.403223658293996,0.03514736842105264,0.16603139056230204,0.1001369787077294
