model,seed,corruption,severity,accuracy,NLL,ECE,Brier,predictive_entropy,initial_predictive_entropy,prediction_change_rate,mean_gate,mean_relative_effective_update
C,5,brightness,5,0.9102,0.3598860156536102,0.054141253070533274,0.1447105275630951,0.1118671808176994,0.11258633823082782,0.007000000000000006,,0.07137778195963611
A,1,impulse_noise,4,0.3839,2.9543646743774414,0.3998481273382902,0.9675368194580078,0.634401079443004,0.634401079443004,,,
D1,3,gaussian_blur,4,0.6589,1.4946145473480226,0.23843993055820464,0.5621272290229797,0.30386104133912595,0.3657754785153549,0.029299999999999993,0.14685038787953866,0.10194230526888466
D1,4,frost,2,0.8645,0.5565489812850952,0.08669726861715317,0.2210240876674652,0.15062108161805082,0.17932053999417402,0.012599999999999945,0.07257239696553587,0.040344803085500154
D1,1,frost,3,0.7885,0.8983203908920289,0.13686775737851858,0.34280964460372926,0.22396899374594215,0.29164516410115177,0.023599999999999954,0.11422265139422089,0.06716312211101232
A,5,gaussian_blur,2,0.8902,0.43084254570007324,0.06312236891984939,0.17654053621292115,0.1429555266473064,0.1429555266473064,,,
D1,2,gaussian_noise,4,0.3251,3.7385524700164794,0.5269158286675811,1.146763063812256,0.42446997873741205,0.5212901477535925,0.04620000000000002,0.2074204485243419,0.12121279544987072
D1,1,speckle_noise,4,0.5141,2.5234139831542968,0.3732718459740281,0.8269261800765991,0.3304466191657877,0.42306680726089396,0.03390000000000004,0.1669624060051215,0.09500441140240579
D1,3,gaussian_noise,3,0.3966,3.3524916225433348,0.4841926541686058,1.051507960510254,0.3437552681932691,0.41407879346808185,0.03869999999999996,0.16641552187091826,0.1075009977755562
A,1,jpeg_compression,1,0.8671,0.5195883390426635,0.07885700984299183,0.2107495766878128,0.16541053713456494,0.16541053713456494,,,
C,5,brightness,1,0.9494,0.19460666732788087,0.029153308573365212,0.0809130116224289,0.06815341840816837,0.06834936993111623,0.0042999999999999705,,0.06949015637421828
D1,2,motion_blur,1,0.9078,0.3630927539825439,0.05753411456644535,0.14884331185817717,0.10559690854349174,0.127192141230969,0.009600000000000053,0.05124381993927091,0.03285280043443017
C,2,frost,4,0.7403,1.1667214992523194,0.16898315009176731,0.4211371228218079,0.27075575715505984,0.2728761566067231,0.01419999999999999,,0.07296381309466753
A,4,spatter,3,0.8304,0.7027803163528442,0.10023046807646752,0.2730699710130692,0.2139536650899623,0.2139536650899623,,,
A,1,impulse_noise,1,0.8035,0.8575280376434327,0.12806616779118776,0.31855276069641114,0.20801926475284271,0.20801926475284271,,,
A,2,contrast,2,0.914,0.3375943522453308,0.05185444971174002,0.13663695430755615,0.10697326985545806,0.10697326985545806,,,
D1,4,elastic_transform,1,0.9075,0.35291566581726075,0.054402707186341284,0.1484035656452179,0.11682796901892288,0.13516642262366949,0.007499999999999951,0.05535031671039081,0.030943304287128198
A,2,elastic_transform,3,0.8797,0.4707411615371704,0.06711366444081068,0.19301699147224427,0.16504767798132672,0.16504767798132672,,,
D1,4,zoom_blur,1,0.8855,0.4442758330643177,0.06924245257675647,0.18276650928258895,0.13821273003098322,0.1595641542933241,0.011700000000000044,0.06538783771833113,0.036636687519886885
C,3,glass_blur,1,0.5653,2.016040818786621,0.2924814908578992,0.6985607664108276,0.4187916793692275,0.41463361698885565,0.030000000000000027,,0.07708873674409548
C,5,fog,1,0.9476,0.20603462204933168,0.030396602794528008,0.0852483463525772,0.07203190494915762,0.07267762789411646,0.0046000000000000485,,0.06968285223844278
